,Country,Happiness Score_x_x,Economy (GDP)_x_x,Family (Social Support)_x_x,Freedom_x_x,Generosity_x_x,Year_x_x,Happiness Score_y_x,Economy (GDP)_y_x,Family (Social Support)_y_x,Freedom_y_x,Generosity_y_x,Year_y_x,Happiness Score_x_y,Economy (GDP)_x_y,Family (Social Support)_x_y,Freedom_x_y,Generosity_x_y,Generosity_x_y,Year_x_y,Happiness Score_y_y,Economy (GDP)_y_y,Family (Social Support)_y_y,Freedom_y_y,Generosity_y_y,Generosity_y_y,Year_y_y,Happiness Score,Economy (GDP),Family (Social Support),Freedom,Generosity,Year
35,Spain,6.31,1.251,1.538,0.449,0.142,2018,6.354,1.286,1.484,0.362,0.153,2019,6.400899887,1.230535269,1.421099186,0.425983816,-0.050961714,0.16530548,2020,6.491,1.375,1.057,0.462,-0.081,0.135,2021,6.476,"1,808","1,211",0.505,"0,101",2022
36,Colombia,6.26,0.96,1.439,0.531,0.099,2018,6.125,0.985,1.41,0.47,0.099,2019,6.163400173,0.93220371,1.33445096,0.526890039,-0.161235645,0.092374094,2020,6.012,1.021,0.866,0.554,-0.135,0.1,2021,5.781,"1,452","0,929",0.545,"0,087",2022
38,Slovakia,6.173,1.21,1.537,0.354,0.118,2018,6.198,1.246,1.504,0.334,0.121,2019,6.280600071,1.194837689,1.424331188,0.423542529,-0.124409303,0.116729774,2020,6.331,1.304,1.066,0.468,-0.124,0.107,2021,6.391,"1,736","1,232",0.479,"0,118",2022
39,El Salvador,6.167,0.806,1.231,0.461,0.065,2018,6.253,0.794,1.242,0.43,0.093,2019,6.34829998,0.748940408,1.149397612,0.524043918,-0.121072978,0.1189363,2020,6.061,0.845,0.675,0.615,-0.11,0.116,2021,6.12,"1,265","0,768",0.666,"0,089",2022
40,Nicaragua,6.141,0.668,1.319,0.527,0.208,2018,6.105,0.694,1.325,0.435,0.2,2019,6.13710022,0.620033145,1.27081275,0.560117304,0.020959141,0.212871477,2020,5.972,0.693,0.904,0.553,0.02,0.201,2021,6.165,"1,105","1,029",0.617,"0,168",2022
41,Poland,6.123,1.176,1.448,0.546,0.108,2018,6.182,1.206,1.438,0.483,0.117,2019,6.186299801,1.16922915,1.310399771,0.557903528,-0.205084071,0.063374244,2020,6.166,1.309,0.982,0.558,-0.165,0.08,2021,6.123,"1,758","1,174",0.523,"0,124",2022
42,Bahrain,6.105,1.338,1.366,0.594,0.243,2018,6.199,1.362,1.368,0.536,0.255,2019,6.227300167,1.296692252,1.31532371,0.610399902,0.13372919,0.287453711,2020,6.647,1.409,0.899,0.661,0.089,0.246,2021,6.647,"1,854","1,029",0.693,"0,199",2022
43,Uzbekistan,6.096,0.719,1.584,0.724,0.328,2018,6.174,0.745,1.529,0.631,0.322,2019,6.257599831,0.696652949,1.434020042,0.693270326,0.248427153,0.363311023,2020,6.179,0.769,1.027,0.716,0.311,0.391,2021,6.063,"1,219","1,092",0.716,"0,283",2022
45,Thailand,6.072,1.016,1.417,0.637,0.364,2018,6.008,1.05,1.409,0.557,0.359,2019,5.998799801,1.007029295,1.347519517,0.609449804,0.268685192,0.376709014,2020,5.985,1.107,0.957,0.611,0.287,0.375,2021,5.891,"1,535","1,096",0.617,"0,321",2022
46,Italy,6.0,1.264,1.501,0.281,0.137,2018,6.223,1.294,1.488,0.231,0.158,2019,6.38740015,1.236396074,1.347296,0.321305573,-0.043460999,0.170266211,2020,6.483,1.393,0.94,0.379,-0.084,0.133,2021,6.467,"1,834","1,052",0.412,"0,085",2022
